Episode,Reward,Avg_Reward_Last_1,Avg_Reward_Last_100,Avg_Reward_All,Frames_total,Time_Elapsed,Solved,Distance,Memory_Usage
63,32.779417734561775,32.779417734561775,null,33.56,1890,02:28:32,False,1.160530470534542,14588899328
64,33.089881082847995,33.089881082847995,null,33.56,1920,02:30:57,False,1.2152628988235443,14576656384
65,32.97466871627858,32.97466871627858,null,33.55,1950,02:33:23,False,1.2525353086850908,14527471616
66,33.529210158497584,33.529210158497584,null,33.55,1980,02:35:48,False,1.2361360045741794,14566928384
67,33.4289186170755,33.4289186170755,null,33.55,2010,02:38:12,False,1.215596478470074,14486130688
68,34.02083495734656,34.02083495734656,null,33.55,2040,02:40:38,False,1.246849782988654,14511054848
69,34.17181609993292,34.17181609993292,null,33.56,2070,02:43:02,False,1.2622814544953622,14454624256
70,33.91280226403965,33.91280226403965,null,33.57,2100,02:45:24,False,1.2411681290335466,14424530944
71,33.622121816797026,33.622121816797026,null,33.57,2130,02:47:48,False,1.2414199718931416,14526709760
72,33.65183690990242,33.65183690990242,null,33.57,2160,02:50:12,False,1.2589972886684617,14642900992
73,33.3086807649445,33.3086807649445,null,33.57,2190,02:52:37,False,1.2109862623980079,14523342848
74,32.822494694762256,32.822494694762256,null,33.56,2220,02:55:01,False,1.191805237883504,14519205888
75,33.64727767910398,33.64727767910398,null,33.56,2250,02:57:29,False,1.2122894072616068,14623031296
76,33.709158748327496,33.709158748327496,null,33.56,2280,02:59:55,False,1.2387553758829313,14543630336
77,33.367549408481416,33.367549408481416,null,33.56,2310,03:02:21,False,1.2095314662369825,14512082944
78,33.22633697722913,33.22633697722913,null,33.55,2340,03:04:45,False,1.2101865082823544,14473392128
79,33.440328905480214,33.440328905480214,null,33.55,2370,03:07:09,False,1.2273814593609909,14568103936
80,33.70760097267788,33.70760097267788,null,33.55,2400,03:09:34,False,1.2463181287412817,14547234816
81,33.22228654172302,33.22228654172302,null,33.55,2430,03:11:58,False,1.2348084120618614,14477422592
82,33.487920712000665,33.487920712000665,null,33.55,2460,03:14:22,False,1.2094372386249137,14519083008
83,34.35571529486167,34.35571529486167,null,33.56,2490,03:16:45,False,1.2473188177011014,14542761984
84,33.80184686234713,33.80184686234713,null,33.56,2520,03:19:10,False,1.2385565949453263,14581567488
85,34.13626353598529,34.13626353598529,null,33.57,2550,03:21:35,False,1.2590157962002417,14556332032
86,33.57667395018619,33.57667395018619,null,33.57,2580,03:24:01,False,1.2516166933621027,14548537344
87,33.78642609509943,33.78642609509943,null,33.57,2610,03:26:25,False,1.2164443049507767,14554718208
88,33.63716226607842,33.63716226607842,null,33.57,2640,03:28:51,False,1.2003404063433876,14624722944
89,33.7532904444443,33.7532904444443,null,33.57,2670,03:31:16,False,1.2456359979767306,14519709696
90,33.23797956483093,33.23797956483093,null,33.57,2700,03:33:43,False,1.2174635514988172,14524694528
91,33.784784993363544,33.784784993363544,null,33.57,2730,03:36:09,False,1.2575348594343254,14576132096
92,33.25928231574963,33.25928231574963,null,33.57,2760,03:38:34,False,1.2505841146283367,14611611648
93,33.43603101760523,33.43603101760523,null,33.57,2790,03:40:59,False,1.2571800870018774,14479388672
94,34.335656925891165,34.335656925891165,null,33.57,2820,03:43:24,False,1.25678438238897,14635417600
95,33.26540138545067,33.26540138545067,null,33.57,2850,03:45:51,False,1.2167209581098202,14581956608
96,33.18512553967197,33.18512553967197,null,33.57,2880,03:48:15,False,1.2122624502510515,14743707648
97,33.7556942649837,33.7556942649837,null,33.57,2910,03:50:41,False,1.232648246950343,14586851328
98,33.310049972055175,33.310049972055175,null,33.57,2940,03:53:05,False,1.2124185719318676,14558756864
99,33.66446752074356,33.66446752074356,null,33.57,2970,03:55:31,False,1.222163627371195,14595612672
100,33.1610384665734,33.1610384665734,33.56372054785762,33.56,3000,03:57:55,False,1.2067242734956347,14666694656
101,33.67942769423013,33.67942769423013,33.51910712381324,33.56,3030,04:00:23,False,1.2570994306549133,14595383296
102,34.12763238868269,34.12763238868269,33.53002339812242,33.57,3060,04:02:48,False,1.2741636237143976,14588817408
103,34.36227435489928,34.36227435489928,33.54465836612208,33.58,3090,04:05:13,False,1.2592948286893377,14598991872
